Object ID,Name,Class,Parent,Centroid X µm,Centroid Y µm
ccc98c3f-9143-4724-860f-d0f3076d3a18,Target: CD20: CD68: CD3: CD4: CD8,Target: CD20: CD68: CD3: CD4: CD8,PathAnnotationObject,779.73,24.39
4ee3aa22-4fb5-4d4a-9814-5bb565b8c432,Target: CD3,Target: CD3,PathAnnotationObject,539.97,25.35
2ec92ccf-da35-4310-84f3-165d1e2e258e,Target: CD68,Target: CD68,PathAnnotationObject,223.26,26.62
ea158d9f-7a3d-4846-af45-c173f1d1aeab,PathCellObject,,PathAnnotationObject,362.1,26.34
8d458513-0e33-4e4c-9555-6591d5c4f3da,PathCellObject,,PathAnnotationObject,326.11,27.07
bc53e307-6bd5-4cc5-a8d3-bf0cebcba93f,PathCellObject,,PathAnnotationObject,288.66,26.15
1a88b1d8-a7f9-4abe-a694-62a0acbf7baf,Target: CD4,Target: CD4,PathAnnotationObject,453.35,27.01
ca217787-9af9-432a-a37b-bb331457133e,Target: CD20: CD3: CD4,Target: CD20: CD3: CD4,PathAnnotationObject,644.02,28.1
161b71f7-2bd5-448c-8b17-a6cd1146d339,Target: CD20: CD68: CD3: CD4,Target: CD20: CD68: CD3: CD4,PathAnnotationObject,725.63,26.54
174301a7-b41f-415c-b826-b91f130a71c5,Target: CD8: FoxP3,Target: CD8: FoxP3,PathAnnotationObject,84.51,26.31
66e578d0-ed49-4869-bd12-1f7d0f26d64b,PathCellObject,,PathAnnotationObject,388.34,24.47
88510f18-8745-4992-a3fa-1b09aa303d5b,PathCellObject,,PathAnnotationObject,532.57,27.58
c9c07b5b-fe4a-4b08-b285-ed3979eb81ab,Target: CD68: CD4,Target: CD68: CD4,PathAnnotationObject,559.25,26.1
834bf11d-086d-46a5-ae42-48979258dcf2,Target: CD68,Target: CD68,PathAnnotationObject,584.38,25.18
e29cb312-4b38-4f6c-8edd-5c9aee429370,Target: CD3: CD4,Target: CD3: CD4,PathAnnotationObject,694.92,25.76
a685184c-740c-40ee-8be3-4b8cdff37fde,Target: CD20: CD3: CD4,Target: CD20: CD3: CD4,PathAnnotationObject,705.3,24.91
1bc980cc-96db-4706-852c-e48ec8c56aab,Target: CD68: CD4,Target: CD68: CD4,PathAnnotationObject,174.49,29.55
49688ec6-943f-4d69-8faa-7592153a91c1,PathCellObject,,PathAnnotationObject,440.17,26.58
aee1e89c-332f-4eab-9779-67a168fa4533,PathCellObject,,PathAnnotationObject,523.48,29.84
841d7c65-9b06-44ac-bb51-86111de88dd6,PathCellObject,,PathAnnotationObject,636.82,29.07
3363daa8-dff9-4da4-90e5-30d1ea24a415,Target: CD3: CD4,Target: CD3: CD4,PathAnnotationObject,746.91,27.17
4b791195-6052-4588-b0e8-128f07eb28c6,PathCellObject,,PathAnnotationObject,344.19,26.12
bcabf8e7-ab2a-4790-9fae-099ed225ea01,PathCellObject,,PathAnnotationObject,479.63,26.06
294866c3-6ff7-4ee2-a55b-e72d32cdab43,Target: CD20: CD68: CD3: CD4: CD8,Target: CD20: CD68: CD3: CD4: CD8,PathAnnotationObject,792.46,30.11
805d1b2a-fb76-4680-a575-91a8f7e59277,PathCellObject,,PathAnnotationObject,24.53,28.95
73cc0912-e67d-4218-9b0a-74ef6746b11f,Target: FoxP3,Target: FoxP3,PathAnnotationObject,243.67,26.89
a84789a1-43bf-4e31-a34b-8088b370c4e4,Target: CD3,Target: CD3,PathAnnotationObject,335.87,30.86
a4c1ca76-e834-4bc7-ab6e-a38e89ff2feb,Target: CD68: CD4: FoxP3,Target: CD68: CD4: FoxP3,PathAnnotationObject,494.17,30.11
f1d5e168-3a12-4fbc-aa03-5895d636a143,PathCellObject,,PathAnnotationObject,503.15,29.08
